ID,Nama_Lokasi,Kategori,Data_Availability,Overall_Decision,Needs_Agent_Followup,Agent_Next_Action,Status_Operasional,Final_Decision_Status,Confidence_Status,Ready_For_AI_Agent_Status,Sumber_Status,Catatan_Status,Revision_Note_Status,Parkir,Toilet,Mushola,Kursi_Roda,Pet_Friendly,Fasilitas_Utama,Status_Fasilitas,Evidence_Status_Fasilitas,Final_Action_Fasilitas,Catatan_Fasilitas,Revision_Note_Fasilitas,Source_Dataset,Generated_Date
LOC-127,Sarae Hills,Rekreasi Keluarga,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola, Shuttle Car, Spot Foto Landmark Dunia, Cafe & Resto",terisi_sebagian_dari_ringkasan_agent,ringkasan_agent_belum_url_per_baris,ready_sebagai_data_awal_fasilitas_umum,"Diisi dari ringkasan fasilitas yang diberikan user/AI agent: Area Parkir, Toilet, Mushola, Shuttle Car, Spot Foto Landmark Dunia, Cafe & Resto. Kolom kursi roda dan pet friendly tetap ? jika tidak disebut eksplisit.","Sebelumnya kosong total, kini fasilitas utama sudah terisi.",fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-130,Fairy Garden by The Lodge,Rekreasi Keluarga,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola",sebagian,mengikuti_catatan_lama,review_sumber_lama_jika_perlu,"Bagian dari kawasan The Lodge. Fasilitas dasar tersedia, akses kursi roda mengikuti kondisi The Lodge.",Data dari tabel fasilitas sebelumnya dipertahankan.,fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-133,Punclut Bandung (Puncak Ciumbuleuit),Wisata Alam,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,"Detik Travel Des 2024, Siliwangi Trans Jun 2025","Kawasan aktif setiap hari 08:00–21:00. Tidak ada tiket masuk. Banyak kafe, spot foto, kuliner malam. Ramai dikunjungi 2025.",Data awal dipertahankan dari tabel sebelumnya.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-135,Taman Main Mili-Mili & Hutan Mycelia,Rekreasi Keluarga,status_operasional_43 + fasilitas_54,READY_AS_INITIAL_DATA_WITH_OPTIONAL_FACILITY_CHECK,OPTIONAL,"Boleh dipakai sebagai data awal. Lengkapi evidence_url, akses kursi roda, atau pet friendly jika dibutuhkan.",✓ Aktif,include_active,Medium,YES,"Grafika Cikole, rumah123.com Agu 2025",Aktif sebagai bagian dari Terminal Wisata Grafika Cikole. Hutan Mycelia adalah wahana malam di kawasan yang sama.,Data awal dipertahankan dari tabel sebelumnya.,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola",sebagian,mengikuti_catatan_lama,review_sumber_lama_jika_perlu,Bagian dari Grafika Cikole. Hutan Mycelia malam hari. Fasilitas dasar ada.,Data dari tabel fasilitas sebelumnya dipertahankan.,fixed_status_operasional_master_43_2026-05-26.csv | fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-137,Rumah Belanda,Tempat Budaya,status_operasional_43_only,EXCLUDE_FROM_ACTIVE_DATASET,NO,Jangan masukkan ke dataset aktif. Simpan hanya sebagai audit/excluded record.,✗ Hapus/Exclude,exclude_unclear,High,NO,"User correction, 2026-05-26",Dikoreksi oleh user: Rumah Belanda dihapus karena identitas/lokasi kurang jelas.,"Dikeluarkan dari dataset aktif, tetapi tetap disimpan di master audit.",,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-138,Kebun Teh Sukawana,Wisata Alam,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,"nagantour.com, bobobox.com Sep 2024, deskjabar.com Apr 2025","Aktif 24 jam. Gratis masuk ke area perkebunan. Di Karyawangi, Parongpong, BBarat. Ada tea walk, camping, wisata pabrik teh.",Data awal dipertahankan dari tabel sebelumnya.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-139,Kawah Rengganis Ciwidey,Wisata Alam,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,"goodnewsfromindonesia.id Nov 2025, ciwideyoutbound.com",Aktif. Buka setiap hari 07:00–17:00. Tiket Rp5.000. Ada jembatan gantung 370m (terpanjang SE-Asia). Selalu ramai.,Data awal dipertahankan dari tabel sebelumnya.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-141,Taman Wisata Bougenville,Rekreasi Keluarga,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola, Kolam Renang, Penginapan, Gazebo, Akses Sungai, Restoran",terisi_sebagian_dari_ringkasan_agent,ringkasan_agent_belum_url_per_baris,ready_sebagai_data_awal_fasilitas_umum,"Diisi dari ringkasan fasilitas yang diberikan user/AI agent: Area Parkir, Toilet, Mushola, Kolam Renang, Penginapan, Gazebo, Akses Sungai, Restoran. Kolom kursi roda dan pet friendly tetap ? jika tidak disebut eksplisit.","Sebelumnya kosong total, kini fasilitas utama sudah terisi.",fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-144,Barusen Hills Ciwidey,Rekreasi Keluarga,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola, Kolam Renang Air Panas, Spot Foto, Penginapan, Restoran",terisi_sebagian_dari_ringkasan_agent,ringkasan_agent_belum_url_per_baris,ready_sebagai_data_awal_fasilitas_umum,"Diisi dari ringkasan fasilitas yang diberikan user/AI agent: Area Parkir, Toilet, Mushola, Kolam Renang Air Panas, Spot Foto, Penginapan, Restoran. Kolom kursi roda dan pet friendly tetap ? jika tidak disebut eksplisit.","Sebelumnya kosong total, kini fasilitas utama sudah terisi.",fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-145,Palalangon Park,Rekreasi Keluarga,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola, Kolam Renang, Spot Foto, Perahu, Penginapan",terisi_sebagian_dari_ringkasan_agent,ringkasan_agent_belum_url_per_baris,ready_sebagai_data_awal_fasilitas_umum,"Diisi dari ringkasan fasilitas yang diberikan user/AI agent: Area Parkir, Toilet, Mushola, Kolam Renang, Spot Foto, Perahu, Penginapan. Kolom kursi roda dan pet friendly tetap ? jika tidak disebut eksplisit.","Sebelumnya kosong total, kini fasilitas utama sudah terisi.",fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-146,Taman Love Soreang,Rekreasi Keluarga,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola, Kolam Renang, Cafe, Spot Foto, Camping Ground",terisi_sebagian_dari_ringkasan_agent,ringkasan_agent_belum_url_per_baris,ready_sebagai_data_awal_fasilitas_umum,"Diisi dari ringkasan fasilitas yang diberikan user/AI agent: Area Parkir, Toilet, Mushola, Kolam Renang, Cafe, Spot Foto, Camping Ground. Kolom kursi roda dan pet friendly tetap ? jika tidak disebut eksplisit.","Sebelumnya kosong total, kini fasilitas utama sudah terisi.",fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-147,Victory Waterpark Soreang,Wahana Air,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,✗,"Area Parkir, Toilet, Mushola",sebagian,mengikuti_catatan_lama,review_sumber_lama_jika_perlu,"Parkir, toilet+shower, mushola, kantin, gazebo, villa. Kursi roda belum terkonfirmasi.",Data dari tabel fasilitas sebelumnya dipertahankan.,fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-148,Pesona Nirwana Waterpark,Wahana Air,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,✗,"Area Parkir, Toilet, Mushola",sebagian,mengikuti_catatan_lama,review_sumber_lama_jika_perlu,"Mushola di area parkir, bersih & estetik. Toilet ada. Kursi roda tidak disebutkan.",Data dari tabel fasilitas sebelumnya dipertahankan.,fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-149,Taman Wisata Alam Cimanggu,Wisata Alam,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,"conservation.id (WJCTF), Instagram wisatacimangguciwidey","Aktif. Di Ciwidey, ~42 km dari Bandung. Ada kolam renang air panas, pondok wisata, MCK, shelter, tempat parkir.",Data awal dipertahankan dari tabel sebelumnya.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-152,Kebun Teh Rancabali,Wisata Alam,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,"salsawisata.com, tempo.co, travelspromo.com Sep 2025",Aktif. Gratis masuk (area terbuka). Aktivitas 07:00–17:00. Milik PTPN Walini. ~60 km dari Bandung.,Data awal dipertahankan dari tabel sebelumnya.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-162,Rumah Putih Cukul,Rekreasi Keluarga,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,?,?,?,"Area Parkir, Toilet, Spot Foto Klasik, Akses Kebun Teh",terisi_sebagian_dari_ringkasan_agent,ringkasan_agent_belum_url_per_baris,ready_sebagai_data_awal_fasilitas_umum,"Diisi dari ringkasan fasilitas yang diberikan user/AI agent: Area Parkir, Toilet, Spot Foto Klasik, Akses Kebun Teh. Kolom kursi roda dan pet friendly tetap ? jika tidak disebut eksplisit.","Sebelumnya kosong total, kini fasilitas utama sudah terisi.",fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-163,Kampung Adat Cikondang,Desa Wisata,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,ANTARA News Feb 2023,"Aktif. Di Desa Lamajang, Pangalengan. Bumi Adat berusia 370 tahun. Dikunjungi wisatawan lokal dan mancanegara.",Data awal dipertahankan dari tabel sebelumnya.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-164,Java Preanger Gunung Tilu,Wisata Alam,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,"User correction, 2026-05-26; sebelumnya Yandex Maps terbatas",Dikoreksi oleh user: Java Preanger Gunung Tilu masih buka. Data lama hanya menyebut info terbatas sehingga status kini dinaikkan menjadi aktif.,Status diubah dari belum pasti menjadi aktif berdasarkan koreksi user.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-165,Malabar Mountain Coffee Shop,Tempat Kuliner,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola, Area Makan, Spot Foto, Akses Kebun Teh",terisi_sebagian_dari_ringkasan_agent,ringkasan_agent_belum_url_per_baris,ready_sebagai_data_awal_fasilitas_umum,"Diisi dari ringkasan fasilitas yang diberikan user/AI agent: Area Parkir, Toilet, Mushola, Area Makan, Spot Foto, Akses Kebun Teh. Kolom kursi roda dan pet friendly tetap ? jika tidak disebut eksplisit.","Sebelumnya kosong total, kini fasilitas utama sudah terisi.",fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-166,Muara Rahong Hills,Wisata Alam,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,muararahonghills.com Okt 2025,"Aktif. Website aktif 2025. Glamping, rafting, paintball, ATV, flying fox di tepi sungai Pangalengan.",Data awal dipertahankan dari tabel sebelumnya.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-167,Cicalengka Dreamland,Rekreasi Keluarga,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola, Flying Fox, Spot Foto Religi, Cafe, Wahana Bermain",terisi_sebagian_dari_ringkasan_agent,ringkasan_agent_belum_url_per_baris,ready_sebagai_data_awal_fasilitas_umum,"Diisi dari ringkasan fasilitas yang diberikan user/AI agent: Area Parkir, Toilet, Mushola, Flying Fox, Spot Foto Religi, Cafe, Wahana Bermain. Kolom kursi roda dan pet friendly tetap ? jika tidak disebut eksplisit.","Sebelumnya kosong total, kini fasilitas utama sudah terisi.",fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-169,Dago Bakery Punclut,Tempat Kuliner,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola, Restoran Berkonsep Kastil, Spot Foto",terisi_sebagian_dari_ringkasan_agent,ringkasan_agent_belum_url_per_baris,ready_sebagai_data_awal_fasilitas_umum,"Diisi dari ringkasan fasilitas yang diberikan user/AI agent: Area Parkir, Toilet, Mushola, Restoran Berkonsep Kastil, Spot Foto. Kolom kursi roda dan pet friendly tetap ? jika tidak disebut eksplisit.","Sebelumnya kosong total, kini fasilitas utama sudah terisi.",fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-171,D'Dieuland,Rekreasi Keluarga,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola, Playground, Spot Foto, Restoran",terisi_sebagian_dari_ringkasan_agent,ringkasan_agent_belum_url_per_baris,ready_sebagai_data_awal_fasilitas_umum,"Diisi dari ringkasan fasilitas yang diberikan user/AI agent: Area Parkir, Toilet, Mushola, Playground, Spot Foto, Restoran. Kolom kursi roda dan pet friendly tetap ? jika tidak disebut eksplisit.","Sebelumnya kosong total, kini fasilitas utama sudah terisi.",fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-172,Sudut Pandang Bandung,Tempat Kuliner,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola",sebagian,mengikuti_catatan_lama,review_sumber_lama_jika_perlu,"Cafe di Lembang kawasan Lereng Anteng. Parkir, toilet, mushola tersedia.",Data dari tabel fasilitas sebelumnya dipertahankan.,fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-173,Cakrawala Nature Sparkling Restaurant,Tempat Kuliner,status_operasional_43 + fasilitas_54,READY_AS_INITIAL_DATA_WITH_OPTIONAL_FACILITY_CHECK,OPTIONAL,"Boleh dipakai sebagai data awal. Lengkapi evidence_url, akses kursi roda, atau pet friendly jika dibutuhkan.",✓ Aktif,include_active,Medium,YES,"nagantour.com, berbagai review",Aktif. Restoran di bukit dengan view Bandung. Menyajikan western & masakan Bandung. Populer untuk sunset.,Data awal dipertahankan dari tabel sebelumnya.,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola, Restoran Unik berkonsep Galaksi/Kaca, Spot Foto",terisi_sebagian_dari_ringkasan_agent,ringkasan_agent_belum_url_per_baris,ready_sebagai_data_awal_fasilitas_umum,"Diisi dari ringkasan fasilitas yang diberikan user/AI agent: Area Parkir, Toilet, Mushola, Restoran Unik berkonsep Galaksi/Kaca, Spot Foto. Kolom kursi roda dan pet friendly tetap ? jika tidak disebut eksplisit.","Sebelumnya kosong total, kini fasilitas utama sudah terisi.",fixed_status_operasional_master_43_2026-05-26.csv | fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-174,Lereng Anteng Panoramic Coffee,Tempat Kuliner,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola",sebagian,mengikuti_catatan_lama,review_sumber_lama_jika_perlu,"Parkir luas, toilet bersih, mushola ada. Cafe di lereng berundak, kursi roda tidak cocok.",Data dari tabel fasilitas sebelumnya dipertahankan.,fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-176,Padepokan Dayang Sumbi,Tempat Belajar,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,"wisatasutra.wordpress.com, sebandung.com Feb 2024","Berganti nama jadi Wisata Ilmu Sutera Bandung (wisatasutera.com). Buka setiap hari, sesi 09:00–11:00 dan 12:00–14:30. Wajib reservasi.",Data awal dipertahankan dari tabel sebelumnya.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-177,Wahoo Waterworld,Wahana Air,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,✓,✗,"Area Parkir, Toilet, Mushola, Akses/Kursi Roda",lengkap,mengikuti_catatan_lama,review_sumber_lama_jika_perlu,,Data dari tabel fasilitas sebelumnya dipertahankan.,fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-178,De Ranch Lembang,Wisata Satwa,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,↔ Ganti nama,include_renamed,High,YES,airial.travel (TikTok review Des 2024),"Berganti nama menjadi Delandden Lembang, soft opening Desember 2024. Masih di lokasi yang sama Jl. Maribaya No.17. Tetap buka, konsep lebih luas.","Tetap dipakai, tetapi nama/alias harus dinormalisasi.",,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-179,Mini Mania Lembang,Rekreasi Keluarga,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola, Taman Miniatur Dunia, Spot Foto, Toko Oleh-oleh, Wahana Edukasi",terisi_sebagian_dari_ringkasan_agent,ringkasan_agent_belum_url_per_baris,ready_sebagai_data_awal_fasilitas_umum,"Diisi dari ringkasan fasilitas yang diberikan user/AI agent: Area Parkir, Toilet, Mushola, Taman Miniatur Dunia, Spot Foto, Toko Oleh-oleh, Wahana Edukasi. Kolom kursi roda dan pet friendly tetap ? jika tidak disebut eksplisit.","Sebelumnya kosong total, kini fasilitas utama sudah terisi.",fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-180,Cimory Dairyland Lembang,Wisata Satwa,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,"cimorydairyland.com, detik.com Mar 2024, kumparan Jul 2024",Aktif. Beroperasi sebagai Minimania Lembang (brand Cimory). Jl. Raya Lembang No.165. Buka 09:00–18:00 setiap hari.,Data awal dipertahankan dari tabel sebelumnya.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-181,Noah's Park Lembang,Rekreasi Keluarga,status_operasional_43 + fasilitas_54,READY_AS_INITIAL_DATA_WITH_OPTIONAL_FACILITY_CHECK,OPTIONAL,"Boleh dipakai sebagai data awal. Lengkapi evidence_url, akses kursi roda, atau pet friendly jika dibutuhkan.",✓ Aktif,include_active,Medium,YES,"goersapp.com Mei 2025, nagantour.com Apr 2025","Aktif. Buka setiap hari 09:00–17:00 (weekend 08:00). Di Jl. Sukanegara No.20, Pagerwangi, Lembang. Wahana gravity sport.",Data awal dipertahankan dari tabel sebelumnya.,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola, Luge Kart, ATV, Cafe, Spot Foto",terisi_sebagian_dari_ringkasan_agent,ringkasan_agent_belum_url_per_baris,ready_sebagai_data_awal_fasilitas_umum,"Diisi dari ringkasan fasilitas yang diberikan user/AI agent: Area Parkir, Toilet, Mushola, Luge Kart, ATV, Cafe, Spot Foto. Kolom kursi roda dan pet friendly tetap ? jika tidak disebut eksplisit.","Sebelumnya kosong total, kini fasilitas utama sudah terisi.",fixed_status_operasional_master_43_2026-05-26.csv | fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-182,Pine Forest Camp Lembang,Tempat Camping,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,"pineforestcamp.web.id, hargatiket.net Feb 2025","Aktif. Buka setiap hari 08:00–18:00. Pindah lokasi sejak Jan 2016 ke Kp. Cipanengah, Suntenjaya Maribaya.",Data awal dipertahankan dari tabel sebelumnya.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-186,Indiana Camp Lembang,Tempat Camping,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,"Wanderlog, TripAdvisor","Aktif. Di Gunung Masigit, Cipatat, Bandung Barat. Spot foto batu kapur, horse riding, camping, rock climbing.",Data awal dipertahankan dari tabel sebelumnya.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-187,Curug Layung,Wisata Alam,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,"salsawisata.com, travelspromo.com Nov 2025","Aktif buka 24 jam. Tiket Rp10.000 (kunjungan), Rp20.000 (camping). Hutan pinus 10 ha di kaki Tangkuban Parahu.",Data awal dipertahankan dari tabel sebelumnya.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-190,Curug Anom,Wisata Alam,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,"User correction, 2026-05-26","Dikoreksi oleh user: Curug Anom masih buka. Jika dipakai untuk publikasi final, simpan bukti Maps/review terbaru.",Status diubah dari belum pasti menjadi aktif berdasarkan koreksi user.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-192,Curug Ngebul Gununghalu,Wisata Alam,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,"Trip.com 2025, inewsbandungraya.id","Aktif, dikelola swadaya warga. Tiket ~Rp10.000. Akses menantang via motor trail / jalan kaki >1 jam dari Kp. Cisitu.",Data awal dipertahankan dari tabel sebelumnya.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-193,Sanghyang Poek,Wisata Alam,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,"travelspromo.com, nabarentcar.com","Aktif sebagai gua di kawasan Sanghyang Heuleut. Terhimpit tebing tinggi, accessible sebagai bagian wisata alam Saguling.",Data awal dipertahankan dari tabel sebelumnya.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
